getopt,1.20.3
optparse,1.7.3
backports,1.1.4
assertthat,0.2.1
glue,1.3.1
magrittr,1.5
pkgconfig,2.0.2
R6,2.4.0
Rcpp,1.0.1
rlang,0.3.4
crayon,1.3.4
cli,1.1.0
fansi,0.4.0
utf8,1.1.4
digest,0.6.19
zeallot,0.1.0
vctrs,0.1.0
pillar,1.4.1
tibble,2.1.3
purrr,0.3.2
tidyselect,0.2.5
BH,1.69.0-1
plogr,0.2.0
dplyr,0.8.1
plyr,1.8.4
stringi,1.4.3
stringr,1.4.0
reshape2,1.4.3
generics,0.0.2
tidyr,0.8.3
broom,0.5.2
DBI,1.0.0
dbplyr,1.4.1
ellipsis,0.1.0
forcats,0.4.0
gtable,0.3.0
lazyeval,0.2.2
labeling,0.3
colorspace,1.4-1
munsell,0.5.0
RColorBrewer,1.1-2
viridisLite,0.3.0
scales,1.0.0
withr,2.1.2
ggplot2,3.1.1
hms,0.4.2
clipr,0.6.0
readr,1.3.1
haven,2.1.0
curl,3.3
jsonlite,1.6
mime,0.6
sys,3.2
askpass,1.1
openssl,1.4
httr,1.4.0
lubridate,1.7.4
modelr,0.1.4
rematch,1.0.1
cellranger,1.1.0
prettyunits,1.0.2
progress,1.2.2
readxl,1.3.1
ps,1.3.0
R6,2.4.0
processx,3.3.1
callr,3.2.0
Rcpp,1.0.1
fs,1.3.1
yaml,2.2.0
evaluate,0.14
highr,0.8
markdown,0.9
xfun,0.7
knitr,1.23
base64enc,0.1-3
htmltools,0.3.6
rstudioapi,0.10
clipr,0.6.0
praise,1.0.0
testthat,2.1.1
tinytex,0.13
rmarkdown,1.13
xml2,1.2.0
whisker,0.3-2
reprex,0.3.0
selectr,0.4-1
rvest,0.3.4
feather,0.3.3
tidyverse,1.2.1